0, 19843, 8315
1, 26780, 36694
2, 34210, 21316
3, 25234, 19227
4, 11923, 22635
5, 5676, 35972
6, 18606, 23833
7, 14012, 7898
8, 22338, 16302
9, 36098, 8454
10, 20445, 3934
11, 5142, 12674
12, 17815, 13363
13, 15040, 1805
14, 10335, 22573
15, 29554, 13629
16, 2314, 35486
17, 7917, 28115
18, 29310, 3497
19, 22452, 29190
20, 23347, 9527
21, 11921, 34968
22, 16394, 120
23, 8841, 3309
24, 11108, 16464
25, 23712, 6249
26, 345, 25587
27, 15074, 10304
28, 26226, 4396
29, 30492, 3463
30, 16107, 28109
31, 6269, 6802
32, 15787, 26956
33, 19111, 26560
34, 28842, 17691
35, 34769, 29476
36, 16137, 9351
37, 14979, 23216
38, 21033, 8146
39, 8463, 33603
40, 4814, 27734
41, 33010, 14991
42, 23963, 16096
43, 3600, 4421
44, 35572, 12747
45, 27798, 7223
46, 26922, 23028
47, 21698, 17033
48, 8327, 12705
49, 36147, 8366
50, 26137, 19728
51, 13179, 8096
52, 8402, 16499
53, 34146, 817
54, 35988, 1456
55, 831, 36977
56, 22761, 24869
57, 13560, 7609
58, 9395, 14312
59, 9320, 37409
60, 11430, 2184
61, 19909, 16569
62, 16385, 9244
63, 33388, 36745
64, 34418, 9213
65, 4325, 37737
66, 33518, 25866
67, 4761, 6063
68, 9665, 20534
69, 25925, 17622
70, 28246, 2795
71, 1085, 24191
72, 8913, 20311
73, 16252, 33391
74, 16760, 4856
75, 21323, 24788
76, 21070, 17179
77, 5169, 10917
78, 30870, 13804
79, 18131, 35599
80, 36954, 28664
81, 1096, 12674
82, 24259, 12162
83, 12967, 8898
84, 6024, 22053
85, 316, 5296
86, 5256, 9410
87, 26754, 3915
88, 19694, 37604
89, 31037, 19235
90, 36812, 19413
91, 28204, 36054
92, 21219, 14590
93, 26183, 18815
94, 37252, 27416
95, 25925, 9728
96, 7658, 15877
97, 7709, 2147
98, 13755, 28721
99, 5023, 33506
100, 20115, 16560
101, 8743, 12958
102, 12923, 18668
103, 1287, 21553
104, 16451, 21995
105, 26287, 29831
106, 12720, 2496
107, 4944, 15723
108, 25113, 1337
109, 11031, 13596
110, 22882, 16715
111, 2882, 37800
112, 7433, 27744
113, 21011, 18479
114, 36582, 595
115, 1714, 22631
116, 1449, 10969
117, 26309, 9419
118, 10525, 5832
119, 19703, 31272
120, 33484, 37848
121, 30552, 15189
122, 16927, 25591
123, 763, 25542
124, 16514, 22965
125, 19197, 1941
126, 31238, 7774
127, 35941, 37590
128, 36460, 30346
129, 1937, 33125
130, 16007, 1281
131, 22482, 26705
132, 15860, 15352
133, 16410, 21622
134, 248, 17238
135, 29104, 37511
136, 33061, 28813
137, 34791, 1469
138, 33213, 20409
139, 8412, 3260
140, 33969, 27160
141, 30500, 21220
142, 755, 25985
143, 2020, 17573
144, 22690, 30256
145, 2733, 7108
146, 36260, 19163
147, 17353, 4534
148, 8604, 35351
149, 10718, 4077
150, 16424, 10779
151, 9780, 15465
152, 8898, 23732
153, 5364, 17885
154, 4237, 2638
155, 9363, 20165
156, 16203, 37097
157, 29131, 2641
158, 3461, 25215
159, 3066, 5280
160, 15478, 11478
161, 22949, 19394
162, 10802, 7503
163, 8642, 34213
164, 35307, 7222
165, 18492, 38562
166, 1222, 21697
167, 12522, 18003
168, 23097, 1650
169, 785, 31679
170, 14476, 36820
171, 2896, 18984
172, 15503, 14695
173, 21717, 17825
174, 14224, 13425
175, 21012, 10223
176, 6641, 33730
177, 30895, 4657
178, 5018, 20605
179, 31989, 22076
180, 23262, 18244
181, 16645, 6846
182, 10703, 4204
183, 2225, 6592
184, 3736, 26925
185, 32981, 18316
186, 28614, 38644
187, 16693, 37917
188, 6889, 25000
189, 15347, 13844
190, 16619, 28641
191, 17568, 31655
192, 14670, 26143
193, 22710, 345
194, 28433, 37071
195, 12112, 15941
196, 25745, 22952
197, 17447, 11478
198, 6151, 7449
199, 7729, 32798
200, 19816, 31349
201, 28425, 36086
202, 27378, 28050
203, 755, 16279
204, 31182, 34689
205, 29524, 1080
206, 9913, 13063
207, 13702, 11523
208, 34476, 9758
209, 13880, 24836
210, 6859, 2546
211, 31214, 9718
212, 26599, 14374
213, 31451, 28065
214, 27649, 26613
215, 31554, 37639
216, 20282, 8513
217, 9411, 12555
218, 11908, 30429
219, 25989, 10253
220, 32543, 25215
221, 19376, 8896
222, 14594, 14403
223, 38354, 20892
224, 29914, 36957
225, 12113, 36851
226, 26750, 27587
227, 14224, 13425
228, 20282, 20935
